id;ano_lançamento;titulo_obra;genero;pais_produtor_obra;nacionalidade_obra;data_lançamento;distribuidora;publico_acumulado;avaliacao
1;2010;Tropa de elite 2;Ficção;Brasil;Brasileiros;08/10/2010;Zazen;11146723;
2;2012;Os Vingadores - The Avengers;Ficção;Estados Unidos;Estrangeiros;27/04/2012;Disney;10911371;
3;2015;Vingadores: A Era de Ultron;Ficção;Estados Unidos;Estrangeiros;23/04/2015;Disney;10129071;
4;2015;Velozes e Furiosos 7;Ficção;Estados Unidos;Estrangeiros;02/04/2015;Universal;9857968;
5;2016;Capitão América: Guerra civil;Ficção;Estados Unidos;Estrangeiros;28/04/2016;Disney;9617668;
6;2012;A saga Crepúsculo: Amanhecer – Parte 2 O final ;Ficção;Estados Unidos;Estrangeiros;15/11/2012;Paris;9596296;
7;2009;A Era do Gelo 3;Animação;Estados Unidos;Estrangeiros;03/07/2009;Fox;9281202;
8;2016;Minha mãe é uma peça 2;Ficção;Brasil;Brasileiros;22/12/2016;Downtown/Paris;9234363;
9;2009;Avatar;Ficção;Estados Unidos;Estrangeiros;18/12/2009;Fox;9111628;
10;2017;Meu Malvado Favorito 3;Animação;Estados Unidos;Estrangeiros;29/06/2017;Universal;8989024;
11;2015;Minions;Animação;Estados Unidos;Estrangeiros;25/06/2015;Universal;8912154;
12;2012;A Era do Gelo 4;Animação;Estados Unidos;Estrangeiros;29/06/2012;Fox;8729837;
13;2016;Batman vs Superman: A Origem da Justiça;Ficção;Estados Unidos;Estrangeiros;24/03/2016;Warner;8565380;
14;2017;Velozes e Furiosos 8;Ficção;Estados Unidos;Estrangeiros;13/04/2017;Universal;8505215;
15;2017;Liga da Justiça;Ficção;Estados Unidos;Estrangeiros;15/11/2017;Warner;8442364;
16;2017;A Bela e a Fera (2017);Ficção;Estados Unidos;Estrangeiros;16/03/2017;Disney;8308489;
17;2016;Procurando Dory;Animação;Estados Unidos;Estrangeiros;30/06/2016;Disney;8189656;
18;2016;Esquadrão Suicida;Ficção;Estados Unidos;Estrangeiros;04/08/2016;Warner;7828012;
19;2013;Homem de ferro 3;Ficção;China, Estados Unidos;Estrangeiros;26/04/2013;Disney;7633751;
20;2010;Shrek para sempre;Animação;Estados Unidos;Estrangeiros;09/07/2010;Paramount;7368374;
21;2011;A saga crepúsculo: amanhecer - parte 2;Ficção;Estados Unidos;Estrangeiros;18/11/2011;Paris;7159227;
22;2017;Mulher-Maravilha;Ficção;Estados Unidos;Estrangeiros;01/06/2017;Warner;7011338;
23;2013;Meu malvado favorito 2;Animação;Estados Unidos;Estrangeiros;05/07/2013;Universal;6997328;
24;2015;Star Wars: Episódio VII - O despertar da Força;Ficção;Estados Unidos;Estrangeiros;17/12/2015;Disney;6725851;
25;2017;Homem-Aranha: De Volta ao Lar;Ficção;Estados Unidos;Estrangeiros;06/07/2017;Sony;6686736;
26;2015;Cinquenta Tons de Cinza;Ficção;Estados Unidos;Estrangeiros;12/02/2015;Universal;6685086;
27;2017;Logan;Ficção;Estados Unidos;Estrangeiros;02/03/2017;Fox;6400985;
28;2017;Thor: Ragnarok;Ficção;Estados Unidos;Estrangeiros;26/10/2017;Disney;6359663;
29;2015;Jurassic World: O mundo dos dinossauros;Ficção;Estados Unidos;Estrangeiros;11/06/2015;Universal;6356830;
30;2010;A Saga Crepúsculo: eclipse;Ficção;Estados Unidos;Estrangeiros;30/07/2010;Paris;6180071;
31;2014;A Culpa é das Estrelas;Ficção;Estados Unidos;Estrangeiros;05/06/2014;Fox;6165793;
32;2011;Rio;Animação;Estados Unidos;Estrangeiros;08/04/2011;Fox;6065545;
33;2016;Deadpool;Ficção;Canadá, Estados Unidos;Estrangeiros;11/02/2016;Fox;6044324;
34;2009;Lua Nova;Ficção;Estados Unidos;Estrangeiros;20/11/2009;Paris;5965054;
35;2009;Se Eu Fosse Você 2;Ficção;Brasil;Brasileiros;02/01/2009;Fox;5787244;
36;2014;Malévola;Ficção;Estados Unidos;Estrangeiros;29/05/2014;Disney;5756491;
37;2011;Harry Potter e as relíquias da morte – Parte 2;Ficção;Estados Unidos;Estrangeiros;15/07/2011;Warner;5578408;
38;2009;2012;Ficção;Estados Unidos;Estrangeiros;13/11/2009;Sony;5279983;
39;2012;Madagascar 3: Os Procurados;Animação;Estados Unidos;Estrangeiros;08/06/2012;Paramount;5269118;
40;2016;A Era do Gelo: O Big Bang;Animação;Estados Unidos;Estrangeiros;07/07/2016;Fox;5260867;
41;2014;Rio 2;Animação;Estados Unidos;Estrangeiros;27/03/2014;Fox;5213978;
42;2012;Alvin e os Esquilos 3;Animação;Estados Unidos;Estrangeiros;06/01/2012;Fox;5189001;
43;2010;Alvin e os Esquilos 2;Animação;Estados Unidos;Estrangeiros;08/01/2010;Fox;5155971;
44;2017;Moana - Um Mar de Aventuras;Animação;Estados Unidos;Estrangeiros;05/01/2017;Disney;5147838;
45;2012;Batman: O cavaleiro das Trevas Ressurge;Ficção;Estados Unidos;Estrangeiros;27/07/2012;Warner;5146519;
46;2012;O Espetacular Homem-Aranha;Ficção;Estados Unidos;Estrangeiros;06/07/2012;Sony;5145603;
47;2017;A Cabana;Ficção;Estados Unidos;Estrangeiros;06/04/2017;Paris;5117598;
48;2011;Os smurfs;Animação;Estados Unidos;Estrangeiros;05/08/2011;Sony;5097245;
49;2014;X-Men: Dias de um Futuro Esquecido;Ficção;Estados Unidos;Estrangeiros;22/05/2014;Fox;4923664;
50;2014;Noé;Ficção;Estados Unidos;Estrangeiros;03/04/2014;Paramount;4887284;
51;2012;De pernas pro ar 2;Ficção;Brasil;Brasileiros;28/12/2012;Downtown/Paris/RioFilme;4846273;
52;2013;Thor 2 - O Mundo Sombrio;Ficção;Estados Unidos;Estrangeiros;01/11/2013;Disney;4835087;
53;2014;Jogos Vorazes: A Esperança - Parte 1;Ficção;Estados Unidos;Estrangeiros;20/11/2014;Paris;4799018;
54;2016;Doutor Estranho;Ficção;Estados Unidos;Estrangeiros;03/11/2016;Disney;4797756;
55;2017;Cinquenta Tons Mais Escuros;Ficção;Estados Unidos;Estrangeiros;09/02/2017;Universal;4628437;
56;2014;Capitão América 2: O soldado invernal;Ficção;Estados Unidos;Estrangeiros;10/04/2014;Disney;4621130;
57;2014;Como Treinar seu Dragão 2;Animação;Estados Unidos;Estrangeiros;19/06/2014;Fox;4612474;
58;2013;Minha mãe é uma peça;Ficção;Brasil;Brasileiros;21/06/2013;Downtown/Paris;4600145;
59;2014;Transformers: A Era da Extinção;Ficção;China, Estados Unidos;Estrangeiros;17/07/2014;Paramount;4587331;
60;2010;Harry Potter e as relíquias da morte - Parte 1;Ficção;Estados Unidos;Estrangeiros;19/11/2010;Warner;4582365;
61;2009;Harry Potter e o Enigma do Príncipe;Ficção;Estados Unidos, Reino Unido;Estrangeiros;15/07/2009;Warner;4530746;
62;2013;Velozes e furiosos 6;Ficção;Estados Unidos;Estrangeiros;24/05/2013;Universal;4521941;
63;2011;Gato de botas;Animação;Estados Unidos;Estrangeiros;09/12/2011;Paramount;4492365;
64;2011;Piratas do Caribe: navegando em águas misteriosas;Ficção;Estados Unidos;Estrangeiros;20/05/2011;Disney;4445040;
65;2015;Jogos Vorazes: A esperança - O final;Ficção;Estados Unidos;Estrangeiros;19/11/2015;Paris;4417940;
66;2016;Pets - A vida secreta dos bichos;Animação;Estados Unidos;Estrangeiros;25/08/2016;Universal;4415952;
67;2017;It: A coisa;Ficção;Estados Unidos;Estrangeiros;07/09/2017;Warner;4414235;
68;2016;X-Men - Apocalipse;Ficção;Estados Unidos;Estrangeiros;19/05/2016;Fox;4374099;
69;2010;Toy Story 3;Animação;Estados Unidos;Estrangeiros;18/06/2010;Sony;4353562;
70;2010;Alice no País das Maravilhas;Ficção;Estados Unidos;Estrangeiros;23/04/2010;Sony;4344901;
71;2016;Animais fantásticos e onde habitam;Ficção;Estados Unidos, Reino Unido;Estrangeiros;17/11/2016;Warner;4344507;
72;2016;Como eu era antes de você;Ficção;Estados Unidos;Estrangeiros;16/06/2016;Warner;4272555;
73;2014;Frozen: uma Aventura Congelante;Animação;Estados Unidos;Estrangeiros;03/01/2014;Disney;4260040;
74;2017;Guardiões da Galáxia Vol. 2;Ficção;Estados Unidos;Estrangeiros;27/04/2017;Disney;4207641;
75;2015;Cinderela;Ficção;Estados Unidos;Estrangeiros;26/03/2015;Disney;4200606;
76;2017;Extraordinário;Ficção;Estados Unidos;Estrangeiros;07/12/2017;Paris;4183535;
77;2014;Êxodo: Deuses e Reis;Ficção;Espanha, Estados Unidos, Reino Unido;Estrangeiros;25/12/2014;Fox;4151658;
78;2014;Planeta dos Macacos: O Confronto;Ficção;Estados Unidos;Estrangeiros;24/07/2014;Fox;4104086;
79;2014;O Espetacular Homem Aranha 2;Ficção;Estados Unidos;Estrangeiros;01/05/2014;Sony;4100615;
80;2010;Nosso lar;Ficção;Brasil;Brasileiros;03/09/2010;Fox;4060304;
81;2013;Até que a Sorte nos Separe 2;Ficção;Brasil;Brasileiros;27/12/2013;Downtown/Paris;3978191;
82;2013;Wolverine Imortal;Ficção;Estados Unidos;Estrangeiros;26/07/2013;Fox;3955564;
83;2011;Enrolados;Animação;Estados Unidos;Estrangeiros;07/01/2011;Sony;3943495;
84;2015;Divertida Mente;Animação;Estados Unidos;Estrangeiros;18/06/2015;Disney;3783700;
85;2015;Loucas pra Casar;Ficção;Brasil;Brasileiros;08/01/2015;Downtown/Paris;3726547;
86;2015;Bob Esponja: Um Herói Fora d'água;Animação;Estados Unidos;Estrangeiros;05/02/2015;Paramount;3719487;
87;2014;Annabelle;Ficção;Estados Unidos;Estrangeiros;09/10/2014;Warner;3719297;
88;2013;João e Maria: Caçadores de Bruxas;Ficção;Alemanha, Estados Unidos;Estrangeiros;25/01/2013;Paramount;3716154;
89;2017;Piratas do Caribe – A Vingança de Salazar;Ficção;Estados Unidos;Estrangeiros;25/05/2017;Disney;3659613;
90;2013;Detona Ralph;Animação;Estados Unidos;Estrangeiros;04/01/2013;Disney;3639928;
91;2014;O Hobbit: A Batalha dos Cinco Exércitos;Ficção;Estados Unidos;Estrangeiros;11/12/2014;Warner;3614094;
92;2011;Velozes e furiosos 5;Ficção;Estados Unidos;Estrangeiros;06/05/2011;Universal;3612670;
93;2016;O bom dinossauro;Animação;Estados Unidos;Estrangeiros;07/01/2016;Disney;3597713;
94;2016;Invocação do Mal 2;Ficção;Estados Unidos;Estrangeiros;09/06/2016;Warner;3594171;
95;2013;Jogos Vorazes: em Chamas;Ficção;Estados Unidos;Estrangeiros;15/11/2013;Paris;3552801;
96;2011;De pernas pro ar;Ficção;Brasil;Brasileiros;31/12/2010;Downtown/Paris;3506552;
97;2012;Valente;Animação;Estados Unidos;Estrangeiros;20/07/2012;Disney;3464618;
98;2012;Até que a Sorte nos Separe;Ficção;Brasil;Brasileiros;05/10/2012;Downtown/Paris/RioFilme;3417510;
99;2011;Carros 2;Animação;Estados Unidos;Estrangeiros;23/06/2011;Disney;3416484;
100;2015;Alvin e os esquilos: Na estrada;Animação;Estados Unidos;Estrangeiros;24/12/2015;Fox;3415118;
101;2010;Chico Xavier;Ficção;Brasil;Brasileiros;02/04/2010;Sony/Downtown;3413231;
102;2014;As Tartarugas Ninja;Ficção;Estados Unidos;Estrangeiros;14/08/2014;Paramount;3366952;
103;2015;Até que a sorte nos separe 3;Ficção;Brasil;Brasileiros;24/12/2015;Downtown/Paris;3335667;
104;2015;Vai que Cola - O Filme;Ficção;Brasil;Brasileiros;01/10/2015;H2O Films;3307837;
105;2013;Universidade Monstros;Animação;Estados Unidos;Estrangeiros;21/06/2013;Disney;3292806;
106;2015;Hotel Transilvânia 2;Animação;Estados Unidos;Estrangeiros;24/09/2015;Sony;3275419;
107;2017;O Poderoso Chefinho;Animação;Estados Unidos;Estrangeiros;30/03/2017;Fox;3228749;
108;2010;O homem de ferro 2;Ficção;Estados Unidos;Estrangeiros;30/04/2010;Paramount;3227105;
109;2013;Se beber, não case! Parte 3;Ficção;Estados Unidos;Estrangeiros;30/05/2013;Warner;3214071;
110;2009;X-Men Origens: Wolverine;Ficção;Estados Unidos;Estrangeiros;01/05/2009;Fox;3199434;
111;2012;Os mercenários 2;Ficção;Estados Unidos;Estrangeiros;31/08/2012;Imagem;3166183;
112;2017;Star Wars: Os últimos jedi;Ficção;Estados Unidos;Estrangeiros;14/12/2017;Disney;3155131;
113;2013;Meu Passado me Condena;Ficção;Brasil;Brasileiros;25/10/2013;Downtown/Paris;3140771;
114;2011;Transformers: o lado oculto da lua;Ficção;Estados Unidos;Estrangeiros;02/07/2011;Paramount;3134578;
